0,273.03,0.55344,0.88191,0.077541,1,-68,1.1689,920.75,2
0,41.775,1.0694,0.032153,-0.12771,3,-57.5,1.6981,925.25,3
0,219.88,1.3156,-0.094162,-0.0022806,1,-56.5,0.46173,922.75,3
1,288.95,1.0225,0.055119,-0.16192,4,-61.5,5.3168,924.25,3
0,39,0.29548,0.92784,0.19157,1,-60.5,2.4022,920.25,1
0,90.7,1.257,-0.094162,-0.047893,3,-57.5,2.6032,924.75,3
0,101.75,0.17823,1.0771,-0.03649,3,-64,0.33134,925.75,1
0,178.1,1.1163,-0.0022966,-0.12771,1,-58,1.2395,925.25,3
1,134.78,1.0694,0.078086,-0.12771,1,-57,2.6768,921.25,3
0,269,0.96383,-0.19751,-0.25315,1,-67,5.1281,922.25,3
0,318.88,1.128,-0.01378,-0.10491,1,-56,0.079767,922.75,3
0,61.9,1.0811,0.21588,-0.27595,1,-59,5.418,921.75,3
0,302.75,1.0342,0.043636,-0.15052,1,-56,0.62433,922.25,3
0,169.75,1.0107,-0.0022966,-0.070699,4,-62.5,2.9867,922.75,3
1,199.1,0.27203,0.99674,-0.059296,1,-57,0.26998,923.75,1
1,188.78,0.35411,0.96229,-0.03649,4,-58.5,0.18561,925.25,1
0,7.775,0.47136,0.89339,0.16876,1,-62,1.2732,923.75,1
0,187.38,0.77622,0.80152,0.15736,2,-55.5,1.827,923.25,2
1,136.28,1.339,-0.036746,-0.013684,4,-63.5,6.2356,923.25,3
1,268.85,0.35411,0.96229,-0.0022806,4,-56.5,0.22703,920.25,1
0,225.2,1.1397,-0.025263,-0.070699,1,-57.5,5.7294,923.75,3
0,434.5,0.40101,0.97377,0.12315,4,-56.5,1.8546,922.75,1
0,39.05,0.24858,0.98526,0.020525,1,-65,5.5484,920.25,1
0,499.1,1.0928,-0.048229,0.0091224,1,-57.5,0.89738,923.25,3
0,448,0.98728,-0.036746,-0.0022806,3,-50,4.4271,921.75,3
0,52.25,0.37756,0.93932,0.077541,1,-63.5,1.3944,925.25,1
0,221.25,0.99901,-0.071196,0.11175,3,-48.5,4.8581,920.75,3
1,603.75,0.56517,-0.34679,1.0354,3,-60,2.9391,922.25,3
1,160.88,0.30721,0.98526,-0.11631,3,-62,1.3146,920.25,1
0,284,1.3625,-0.15158,-0.03649,1,-57,0.2485,922.75,3
0,382.5,0.9521,-0.01378,-0.093505,3,-50.5,4.062,922.75,3
0,205.93,1.0107,0.055119,-0.13912,1,-66,1.0815,925.75,3
1,140.75,0.8583,0.65224,0.077541,1,-59,5.3045,920.75,1
1,26.75,0.2603,0.98526,0.054735,3,-57.5,4.7507,922.75,1
1,294.23,1.1632,0.02067,-0.10491,3,-56,1.06,923.75,3
1,421.25,0.60034,0.88191,0.088944,4,-58.5,0.12272,922.75,1
0,62.25,0.49481,0.89339,0.14596,2,-59.5,0.18561,925.25,2
1,101,0.060972,1.0771,-0.16192,2,-58,4.9517,924.75,2
1,45.625,0.31893,0.98526,-0.16192,2,-55,5.3521,920.75,2
1,274.68,1.1632,-0.0022966,-0.082102,4,-61,3.9807,922.75,3
0,336,0.9052,-0.10565,-0.18473,3,-48,4.5713,921.75,3
0,29.925,0.2603,0.98526,0.066138,1,-67,0.75318,920.25,1
0,4.55,0.1665,1.0427,0.020525,1,-62.5,5.438,922.75,1
0,140.5,1.0811,0.078086,0.10035,4,-61.5,0.14573,922.75,3
0,96.5,0.31893,0.97377,0.043332,1,-59.5,1.1858,920.25,1
1,404.28,0.98728,0.078086,-0.15052,1,-56,5.5745,921.75,3
0,44.65,1.1749,-0.048229,-0.070699,1,-63.5,1.9896,922.75,3
0,584.5,1.1749,-0.094162,0.054735,4,-66,3.8564,925.25,3
1,113.68,0.014071,0.97377,-0.18473,2,-45,6.274,921.25,4
0,152.83,0.060972,0.98526,0.077541,4,-56.5,5.1849,920.25,1
1,164.25,0.28376,1.0197,-0.070699,1,-60.5,5.642,924.75,1
1,274.18,1.0928,0.055119,-0.13912,1,-56.5,1.2809,922.75,3
0,350.45,0.2603,1.0082,0.054735,1,-55,5.1097,924.75,4
1,130.45,1.1749,0.043636,-0.059296,1,-56,1.4557,922.75,3
1,138.88,1.1163,0.055119,-0.082102,4,-62.5,6.1421,922.25,3
0,628,0.9521,-0.0022966,-0.059296,4,-64,5.7049,923.25,3
1,295.15,1.2921,-0.094162,-0.013684,4,-64.5,1.0124,925.75,3
0,327.75,1.1045,-0.25493,-0.10491,4,-67.5,4.9594,923.25,3
1,427.93,1.1397,0.10105,-0.070699,4,-65,0.44946,924.25,3
0,271.15,0.9052,-0.12861,-0.19613,3,-46.5,0.75932,922.75,3
1,492,1.3039,-0.01378,0.11175,1,-59,1.6091,921.25,3
0,146.5,0.63552,0.85894,0.18017,4,-61,1.0907,922.25,1
0,41.25,0.74105,0.79004,-0.013684,4,-65.5,4.7983,923.75,1
1,69.9,0.35411,0.97377,-0.059296,1,-57,5.7125,923.75,1
1,477.83,1.2921,0.0091865,-0.059296,3,-59.5,6.2111,925.75,3
1,200.18,0.18995,1.0082,-0.025087,1,-56.5,0.079767,922.25,1
1,48.25,0.7176,0.79004,0.066138,4,-57,0.72557,925.75,1
0,301.6,1.1163,-0.0022966,-0.11631,1,-57,1.445,924.75,3
0,105.33,0.29548,0.97377,0.031928,4,-56.5,6.1835,922.75,1
1,375.78,1.2804,0.10105,0.054735,4,-58.5,0.033748,920.25,3
0,669.6,1.2218,-0.17454,0.020525,3,-48.5,4.5375,921.75,3
0,137.97,0.34238,0.97377,0.054735,1,-61,5.6128,925.25,1
1,276.75,0.9521,-0.11713,0.81874,4,-56.5,1.3852,923.25,3
1,134.53,1.1163,0.043636,-0.070699,3,-56.5,3.9301,924.25,3
0,305,0.9052,-0.10565,-0.19613,4,-65.5,0.15186,921.25,3
1,251.75,1.3156,-0.048229,-0.047893,4,-65,6.1681,925.75,3
0,74.325,1.0694,0.043636,-0.15052,3,-61,5.2431,924.25,3
1,318.25,1.1045,0.23885,-0.013684,1,-56.5,6.07,921.25,3
